DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS,Título del vídeo,Impresiones
2024-10-17,1,0,1421,75058,44,0,1,1,LA MEJOR TÁCTICA DE CALL OF DUTY #warzone #warzonesniping #callofduty #cod #warzonesniper #warzone,462
2024-08-08,0,0,10,449,0,0,0,0,BLACK OPS 6 + WARZONE! | COD NEXT👍💪,703
2024-03-09,3,0,3340,273387,135,0,2,3,LA CARTA MAS CARA DE POKEMON #informática #viral #goku #consejos #tecnologia #shorts,919
2024-03-19,0,0,10,442,1,0,0,0,LA INTELIGENCIA ARTIFIAL || DALE LIKE Y COMENTA #tecnologia #ai  #informática #apple #samsung #,161
2024-04-17,15,0,2794,250446,106,0,3,15,El mejor iphone 150 pro  #unboxing #gaming #iphone  @Apple #tecnologia #tech #shorts #short #viral,801
2024-10-30,0,0,109,325375,3,0,0,0,MÚSICA para Estudiar 🔴 Dormir 🔴 Trabajar 🔴 Inspirarse  #musicaparaestudiar #estudiar #trabajar #fyp,5473
,0,0,49,1441096,0,0,0,0,MÚSICA para Estudiar 🔴 Dormir 🔴 Trabajar 🔴 Inspirarse  #musicaparaestudiar #estudiar #trabajar #fyp,3665
2022-12-11,0,0,75,2986,4,0,0,0,¿Que área te dedicarías ?,126
2024-10-19,3,0,54,2072539,5,0,0,3,#Parte3  100H Estudiando Estructura de datos y Algoritmos. ¿Cuál es la mejor opción para mi carrera?,1260
2024-09-26,1,0,18,1279,1,0,0,1,THE TEAM PODCAST #2 | LA PEOR PLAYSTATION DEL MUNDO - GOOGLE PIXEL 9 - WINDOWS VS EMPRESAS GAMERS,1341
,0,0,10,4957,0,0,0,0,FORNITE - 🔴  ¡EVENTO PRONTO! (EN VIVO) ! Descubriendo a Tramposo!!! #fortnite #live #endirecto,186
2024-09-09,0,0,36,8619,1,0,0,0,"EVENTO APPLE  9, 2024 DIRECTO #apple #event #appleevent #appleevent2024",1200
,0,0,4,9488,1,0,0,0,🔴 EN VIVO: Jugando Fortnite con suscriptores y  Explorando el nuevo mapa 🚀 ¡Únete y juega!,190
2024-03-25,1,0,479,-646053,14,0,2,1,Apple en problemas otra vez #apple #tecnologia #iphone #samsung #informática #shorts #viral,464
,0,0,3,1624,0,0,0,0,CALL OF DUTY BLACK OPS 6 #callofduty #warzone #gamer #fy #foryou,20
2024-10-11,1,0,24,2386132,3,0,0,1,"The Team Podcast #4 - Meta Presenta Gafas Ray Ban con AI, Apple integra AI, Discord Baneado en Rusia",828
2024-09-25,2,1,564,1173922,15,0,0,1,La Peor PLAYSTATION QUE HA EXISTIDO #smartphone #fyp #fy #viralshorts #playstation #macprivado,281
2023-07-16,0,0,26,1849,1,0,0,0,VSCODE : Varias pantallas o ediciones,237
2024-06-14,1,0,408,2366074,14,0,1,1,#apple #tecnologia #viral  iOS nuevo control de apps  #informática,316
2024-03-11,4,0,472,921905,13,0,0,4,WhatsApp compartirá tus mensajes con otras apps #viral #tiktok #whatsapp # #informática #tecnologia,882
2024-03-13,2,0,626,623957,21,0,1,2,china desarrolla un puente que une dos ciudades #tecnologia #china #actualidad #apple #samsung,1359
2024-03-04,3,0,169,6482,5,0,0,3,NVIDIA nueva sede de chips  @NVIDIA @NVIDIAGeForce  #tecnologia #informática #chips #iphone,860
